,VALUE,Freq,EVT_NAME,LFRDB,EVT_FUEL,EVT_FUEL_N,EVT_LF,EVT_PHYS,EVT_GP,EVT_GP_N,SAF_SRM,EVT_ORDER,EVT_CLASS,EVT_SBCLS,R,G,B,RED,GREEN,BLUE,ACRES,REL_PERCENT
37,7975,271387,Eastern Cool Temperate Close Grown Crop,7975,2965,Da Close Grown Crop,Agriculture,Agricultural,65,Agricultural-Close Grown Crop,LF 80: Agriculture,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Annual Graminoid/Forb,255,237,119,1,0.929412,0.466667,60355,1.1
60,9312,222900,Northeastern North American Temperate Forest Plantation,9312,2562,Tr Northeastern North American Temperate Forest Plantation,Tree,Conifer,731,Managed Tree Plantation,LF 61: Managed Tree Plantation,Tree-dominated,Open Tree Canopy,Evergreen open tree canopy,158,67,14,0.619608,0.262745,0.054902,49572,0.9
56,9120,194553,Laurentian-Acadian Wet Meadow,9120,2494,Sh Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Herb,Riparian,783,Wet Meadow,LF 44: Laurentian-Acadian Herbaceous Wetland,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,255,92,38,1,0.360784,0.14902,43268,0.8
16,7362,188460,Laurentian-Acadian Northern Pine Forest,7362,2362,Tr Laurentian-Acadian Northern Pine Forest,Tree,Conifer,665,Red Pine-White Pine Forest and Woodland,SAF 15: Red Pine,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy,174,245,224,0.682353,0.960784,0.878431,41912,0.7
36,7974,169926,Eastern Cool Temperate Row Crop,7974,2964,Da Row Crop,Agriculture,Agricultural,64,Agricultural-Row Crop,LF 80: Agriculture,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Annual Graminoid/Forb,250,255,119,0.980392,1,0.466667,37791,0.7
68,9620,144317,Laurentian-Acadian Shrub Swamp,9120,2494,Sh Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Shrub,Riparian,675,Inland Marshes and Prairies,LF 44: Laurentian-Acadian Herbaceous Wetland,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,255,92,38,1,0.360784,0.14902,32095,0.6
2,7239,125317,Laurentian-Acadian Northern Pine-(Oak) Forest,7362,2239,Tr Laurentian-Acadian Northern Pine-Oak Forest,Tree,Conifer-Hardwood,665,Red Pine-White Pine Forest and Woodland,SAF 15: Red Pine,Tree-dominated,Closed tree canopy,Mixed evergreen-deciduous closed tree canopy,174,245,224,0.682353,0.960784,0.878431,27870,0.5
22,7905,130053,Eastern Cool Temperate Urban Deciduous Forest,7905,2913,Dtd Urban Deciduous Forest,Tree,Developed,13,Developed-Upland Deciduous Forest,LF 20: Developed,Tree-dominated,Open tree canopy,Deciduous open tree canopy,112,68,137,0.439216,0.266667,0.537255,28923,0.5
24,7907,119314,Eastern Cool Temperate Urban Mixed Forest,7907,2915,Dtm Urban Mixed Deciduous-Evergreen Forest,Tree,Developed,15,Developed-Upland Mixed Forest,LF 20: Developed,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,194,158,215,0.760784,0.619608,0.843137,26535,0.5
38,7976,120380,Eastern Cool Temperate Fallow/Idle Cropland,7976,2966,Dab Fallow/Idle Cropland,Herb,Agricultural,66,Agricultural-Fallow/Idle Cropland,LF 80: Agriculture,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Annual Graminoid/Forb,255,255,119,1,1,0.466667,26772,0.5
54,9117,117423,Laurentian-Acadian Floodplain Forest,9117,2475,Tr Laurentian-Acadian Floodplain Systems,Tree,Riparian,666,Eastern Floodplain Forests,SAF 39: Black Ash-American Elm-Red Maple,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,50,137,168,0.196078,0.537255,0.658824,26114,0.5
1,7238,106739,Laurentian-Acadian Northern Oak Forest,7362,2238,Tr Laurentian-Acadian Northern Oak Forest,Tree,Hardwood,665,Red Pine-White Pine Forest and Woodland,SAF 15: Red Pine,Tree-dominated,Closed tree canopy,Deciduous closed tree canopy,174,245,224,0.682353,0.960784,0.878431,23738,0.4
9,7296,99834,Developed-Low Intensity,7296,2902,Bau Developed-Low Intensity,Developed,Developed-Low Intensity,22,Developed-Low Intensity,LF 20: Developed,No Dominant Lifeform,No Dominant Lifeform,Developed,255,122,143,1,0.478431,0.560784,22203,0.4
18,7407,109095,Laurentian Pine Barrens,7407,2407,Tr Laurentian Pine Barrens,Tree,Conifer,676,Jack Pine Forest,SAF 15: Red Pine,Tree-dominated,Sparse tree canopy,Evergreen sparse tree canopy,174,245,224,0.682353,0.960784,0.878431,24262,0.4
23,7906,92779,Eastern Cool Temperate Urban Evergreen Forest,7906,2914,Dtc Urban Evergreen Forest,Tree,Developed,14,Developed-Upland Evergreen Forest,LF 20: Developed,Tree-dominated,Open tree canopy,Evergreen open tree canopy,170,102,205,0.666667,0.4,0.803922,20634,0.4
55,9118,114182,Laurentian-Acadian Freshwater Marsh,9118,2494,Sh Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Herb,Riparian,675,Inland Marshes and Prairies,LF 44: Laurentian-Acadian Herbaceous Wetland,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,255,92,38,1,0.360784,0.14902,25393,0.4
3,7240,81454,Laurentian-Acadian Hardwood Forest,7366,2240,Tr Laurentian-Acadian Hardwood Forest,Tree,Hardwood,685,Pine-Hemlock-Hardwood Forest,SAF 24: Hemlock-Yellow Birch,Tree-dominated,Closed tree canopy,Deciduous closed tree canopy,0,92,0,0,0.360784,0,18115,0.3
20,7466,82279,Great Lakes Wooded Dune and Swale,7466,2466,Tr Great Lakes Wooded Dune and Swale,Tree,Riparian,675,Inland Marshes and Prairies,SAF 1: Jack Pine,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,174,245,224,0.682353,0.960784,0.878431,18298,0.3
25,7908,80831,Eastern Cool Temperate Urban Herbaceous,7908,2916,Dgr Urban Herbaceous,Herb,Developed,16,Developed-Upland Herbaceous,LF 20: Developed,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid,202,122,245,0.792157,0.478431,0.960784,17976,0.3
42,9055,86594,Boreal-Laurentian Bog,9055,2477,Tr Boreal Acidic Peatland Systems,Shrub,Riparian,683,Peatland Forests,SAF 13: Black Spruce-Tamarack,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,186,163,119,0.729412,0.639216,0.466667,19258,0.3
