OID_,Value,Count,LC16_BPS_2,LC20_SCla_,BPS_MODEL,BPS_NAME,GROUPVEG,LABEL
16,17,68928.000000000000000,1639,120,14810_41_50_51_63,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,Developed
17,18,619651.000000000000000,11,111,NA,Open Water,Open Water,Water
18,19,17836.000000000000000,1625,3,13660_51_63_64_65_66,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Hardwood-Conifer,C
19,20,32646.000000000000000,1637,120,14770_40_41_50_51,Boreal Acidic Peatland Systems,Riparian,Developed
20,21,45589.000000000000000,1639,7,14810_41_50_51_63,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,UE
21,22,273533.000000000000000,1639,1,14810_41_50_51_63,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,A
22,23,25625.000000000000000,1637,7,14770_40_41_50_51,Boreal Acidic Peatland Systems,Riparian,UE
23,24,229943.000000000000000,1639,2,14810_41_50_51_63,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,B
24,25,7224.000000000000000,1637,180,14770_40_41_50_51,Boreal Acidic Peatland Systems,Riparian,Agriculture
25,26,64831.000000000000000,1637,6,14770_40_41_50_51,Boreal Acidic Peatland Systems,Riparian,UN
26,27,77896.000000000000000,1623,7,13651_51,Boreal White Spruce-Fir-Hardwood Forest-Inland,Conifer,UE
27,28,146855.000000000000000,1623,120,13651_51,Boreal White Spruce-Fir-Hardwood Forest-Inland,Conifer,Developed
28,29,126285.000000000000000,1637,2,14770_40_41_50_51,Boreal Acidic Peatland Systems,Riparian,B
29,30,38929.000000000000000,1621,3,13442_51,Boreal Jack Pine-Black Spruce Forest-Spruce-Fir,Conifer,C
30,31,10226.000000000000000,1621,120,13442_51,Boreal Jack Pine-Black Spruce Forest-Spruce-Fir,Conifer,Developed
31,32,48656.000000000000000,1621,6,13442_51,Boreal Jack Pine-Black Spruce Forest-Spruce-Fir,Conifer,UN
32,33,47714.000000000000000,1639,180,14810_41_50_51_63,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,Agriculture
33,34,110450.000000000000000,1637,1,14770_40_41_50_51,Boreal Acidic Peatland Systems,Riparian,A
34,35,47926.000000000000000,1633,6,14440_41_50_51,Eastern Boreal Floodplain,Hardwood,UN
35,36,167486.000000000000000,1615,180,13022_41_50_51,Laurentian-Acadian Northern Hardwoods Forest-Hemlock,Hardwood,Agriculture
36,37,35155.000000000000000,1623,3,13651_51,Boreal White Spruce-Fir-Hardwood Forest-Inland,Conifer,C
37,38,523537.000000000000000,1620,4,13441_51,Boreal Jack Pine-Black Spruce Forest-Pine Barrens,Conifer,D
38,39,91178.000000000000000,1633,3,14440_41_50_51,Eastern Boreal Floodplain,Hardwood,C
39,40,9081.000000000000000,1623,1,13651_51,Boreal White Spruce-Fir-Hardwood Forest-Inland,Conifer,A
40,41,73938.000000000000000,1625,180,13660_51_63_64_65_66,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Hardwood-Conifer,Agriculture
41,42,124119.000000000000000,1620,120,13441_51,Boreal Jack Pine-Black Spruce Forest-Pine Barrens,Conifer,Developed
42,43,116000.000000000000000,1620,7,13441_51,Boreal Jack Pine-Black Spruce Forest-Pine Barrens,Conifer,UE
43,44,187566.000000000000000,1620,3,13441_51,Boreal Jack Pine-Black Spruce Forest-Pine Barrens,Conifer,C
44,45,7637.000000000000000,1621,7,13442_51,Boreal Jack Pine-Black Spruce Forest-Spruce-Fir,Conifer,UE
45,46,19691.000000000000000,1620,6,13441_51,Boreal Jack Pine-Black Spruce Forest-Pine Barrens,Conifer,UN
46,47,3595.000000000000000,1620,1,13441_51,Boreal Jack Pine-Black Spruce Forest-Pine Barrens,Conifer,A
47,48,8157.000000000000000,1620,180,13441_51,Boreal Jack Pine-Black Spruce Forest-Pine Barrens,Conifer,Agriculture
48,49,27531.000000000000000,1636,3,14750_41_50_51_63_64_65_66,Laurentian-Acadian Floodplain Systems,Riparian,C
49,50,3794.000000000000000,1620,2,13441_51,Boreal Jack Pine-Black Spruce Forest-Pine Barrens,Conifer,B
50,51,21490.000000000000000,1640,120,14920_41_50_51_52_63,Great Lakes Coastal Marsh Systems,Riparian,Developed
51,52,130.000000000000000,1615,1,13022_41_50_51,Laurentian-Acadian Northern Hardwoods Forest-Hemlock,Hardwood,A
52,53,495101.000000000000000,1624,4,13652_51,Boreal White Spruce-Fir-Hardwood Forest-Coastal,Conifer,D
53,54,229.000000000000000,1640,3,14920_41_50_51_52_63,Great Lakes Coastal Marsh Systems,Riparian,C
54,55,1527.000000000000000,1640,2,14920_41_50_51_52_63,Great Lakes Coastal Marsh Systems,Riparian,B
55,56,8010.000000000000000,1640,6,14920_41_50_51_52_63,Great Lakes Coastal Marsh Systems,Riparian,UN
56,57,1120.000000000000000,1633,7,14440_41_50_51,Eastern Boreal Floodplain,Hardwood,UE
57,58,6750.000000000000000,31,132,NA,Barren-Rock/Sand/Clay,Barren-Rock/Sand/Clay,Barren or Sparse
58,59,440.000000000000000,1633,4,14440_41_50_51,Eastern Boreal Floodplain,Hardwood,D
59,60,1263.000000000000000,1636,120,14750_41_50_51_63_64_65_66,Laurentian-Acadian Floodplain Systems,Riparian,Developed
60,61,30969.000000000000000,1636,6,14750_41_50_51_63_64_65_66,Laurentian-Acadian Floodplain Systems,Riparian,UN
61,62,3895.000000000000000,1621,2,13442_51,Boreal Jack Pine-Black Spruce Forest-Spruce-Fir,Conifer,B
62,63,2594.000000000000000,1637,5,14770_40_41_50_51,Boreal Acidic Peatland Systems,Riparian,E
63,64,62231.000000000000000,1624,120,13652_51,Boreal White Spruce-Fir-Hardwood Forest-Coastal,Conifer,Developed
64,65,127605.000000000000000,1623,180,13651_51,Boreal White Spruce-Fir-Hardwood Forest-Inland,Conifer,Agriculture
65,66,1003715.000000000000000,1614,3,13022_41_50_51,Laurentian-Acadian Northern Hardwoods Forest-Hemlock,Hardwood,C
66,67,2154461.000000000000000,1614,5,13022_41_50_51,Laurentian-Acadian Northern Hardwoods Forest-Hemlock,Hardwood,E
67,68,933.000000000000000,1621,180,13442_51,Boreal Jack Pine-Black Spruce Forest-Spruce-Fir,Conifer,Agriculture
68,69,2766.000000000000000,1633,180,14440_41_50_51,Eastern Boreal Floodplain,Hardwood,Agriculture
69,70,597605.000000000000000,1614,6,13022_41_50_51,Laurentian-Acadian Northern Hardwoods Forest-Hemlock,Hardwood,UN
70,71,423436.000000000000000,1622,2,13620_51_63_64_65_66,Laurentian-Acadian Northern Pine(-Oak) Forest,Hardwood-Conifer,B
71,72,91002.000000000000000,1622,120,13620_51_63_64_65_66,Laurentian-Acadian Northern Pine(-Oak) Forest,Hardwood-Conifer,Developed
72,73,61417.000000000000000,1622,7,13620_51_63_64_65_66,Laurentian-Acadian Northern Pine(-Oak) Forest,Hardwood-Conifer,UE
73,74,86921.000000000000000,1616,5,13023_51,Laurentian-Acadian Northern Hardwoods Forest-Northern Sugar Maple-Basswood,Hardwood,E
74,75,58228.000000000000000,1616,3,13023_51,Laurentian-Acadian Northern Hardwoods Forest-Northern Sugar Maple-Basswood,Hardwood,C
75,76,20271.000000000000000,1616,6,13023_51,Laurentian-Acadian Northern Hardwoods Forest-Northern Sugar Maple-Basswood,Hardwood,UN
76,77,8623.000000000000000,1616,120,13023_51,Laurentian-Acadian Northern Hardwoods Forest-Northern Sugar Maple-Basswood,Hardwood,Developed
77,78,889.000000000000000,1636,2,14750_41_50_51_63_64_65_66,Laurentian-Acadian Floodplain Systems,Riparian,B
78,79,302608.000000000000000,1614,120,13022_41_50_51,Laurentian-Acadian Northern Hardwoods Forest-Hemlock,Hardwood,Developed
79,80,3688.000000000000000,1616,2,13023_51,Laurentian-Acadian Northern Hardwoods Forest-Northern Sugar Maple-Basswood,Hardwood,B
80,81,447369.000000000000000,1614,180,13022_41_50_51,Laurentian-Acadian Northern Hardwoods Forest-Hemlock,Hardwood,Agriculture
81,82,1961.000000000000000,1633,120,14440_41_50_51,Eastern Boreal Floodplain,Hardwood,Developed
82,83,405.000000000000000,1641,4,14940_41_50_51,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Riparian,D
83,84,132086.000000000000000,1614,7,13022_41_50_51,Laurentian-Acadian Northern Hardwoods Forest-Hemlock,Hardwood,UE
84,85,5376.000000000000000,1616,7,13023_51,Laurentian-Acadian Northern Hardwoods Forest-Northern Sugar Maple-Basswood,Hardwood,UE
85,86,12442.000000000000000,1616,180,13023_51,Laurentian-Acadian Northern Hardwoods Forest-Northern Sugar Maple-Basswood,Hardwood,Agriculture
86,87,4206.000000000000000,1624,1,13652_51,Boreal White Spruce-Fir-Hardwood Forest-Coastal,Conifer,A
87,88,77251.000000000000000,1622,3,13620_51_63_64_65_66,Laurentian-Acadian Northern Pine(-Oak) Forest,Hardwood-Conifer,C
88,89,40705.000000000000000,1622,180,13620_51_63_64_65_66,Laurentian-Acadian Northern Pine(-Oak) Forest,Hardwood-Conifer,Agriculture
89,90,1016.000000000000000,1636,7,14750_41_50_51_63_64_65_66,Laurentian-Acadian Floodplain Systems,Riparian,UE
90,91,48622.000000000000000,1614,2,13022_41_50_51,Laurentian-Acadian Northern Hardwoods Forest-Hemlock,Hardwood,B
91,92,25798.000000000000000,1624,7,13652_51,Boreal White Spruce-Fir-Hardwood Forest-Coastal,Conifer,UE
92,93,86109.000000000000000,1629,3,14072_41_50_51,Laurentian Pine-Oak Barrens-Jack Pine,Conifer,C
93,94,1173.000000000000000,1629,180,14072_41_50_51,Laurentian Pine-Oak Barrens-Jack Pine,Conifer,Agriculture
94,95,11976.000000000000000,1629,120,14072_41_50_51,Laurentian Pine-Oak Barrens-Jack Pine,Conifer,Developed
95,96,11210.000000000000000,1629,7,14072_41_50_51,Laurentian Pine-Oak Barrens-Jack Pine,Conifer,UE
96,97,12369.000000000000000,1624,3,13652_51,Boreal White Spruce-Fir-Hardwood Forest-Coastal,Conifer,C
97,98,681.000000000000000,1633,2,14440_41_50_51,Eastern Boreal Floodplain,Hardwood,B
98,99,272.000000000000000,1629,2,14072_41_50_51,Laurentian Pine-Oak Barrens-Jack Pine,Conifer,B
99,100,391.000000000000000,1629,1,14072_41_50_51,Laurentian Pine-Oak Barrens-Jack Pine,Conifer,A
100,101,60106.000000000000000,1624,180,13652_51,Boreal White Spruce-Fir-Hardwood Forest-Coastal,Conifer,Agriculture
101,102,201.000000000000000,1614,1,13022_41_50_51,Laurentian-Acadian Northern Hardwoods Forest-Hemlock,Hardwood,A
102,103,54803.000000000000000,1628,5,14071_41_50_51,Laurentian Pine-Oak Barrens,Hardwood-Conifer,E
103,104,78443.000000000000000,1628,4,14071_41_50_51,Laurentian Pine-Oak Barrens,Hardwood-Conifer,D
104,105,16245.000000000000000,1628,7,14071_41_50_51,Laurentian Pine-Oak Barrens,Hardwood-Conifer,UE
105,106,76.000000000000000,1623,2,13651_51,Boreal White Spruce-Fir-Hardwood Forest-Inland,Conifer,B
106,107,7.000000000000000,1629,4,14072_41_50_51,Laurentian Pine-Oak Barrens-Jack Pine,Conifer,D
107,108,4520.000000000000000,1622,1,13620_51_63_64_65_66,Laurentian-Acadian Northern Pine(-Oak) Forest,Hardwood-Conifer,A
108,109,2145.000000000000000,1628,180,14071_41_50_51,Laurentian Pine-Oak Barrens,Hardwood-Conifer,Agriculture
109,110,29.000000000000000,1621,1,13442_51,Boreal Jack Pine-Black Spruce Forest-Spruce-Fir,Conifer,A
110,111,9654.000000000000000,1628,3,14071_41_50_51,Laurentian Pine-Oak Barrens,Hardwood-Conifer,C
111,112,20440.000000000000000,1640,7,14920_41_50_51_52_63,Great Lakes Coastal Marsh Systems,Riparian,UE
112,113,115.000000000000000,1641,7,14940_41_50_51,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Riparian,UE
113,114,390.000000000000000,1640,180,14920_41_50_51_52_63,Great Lakes Coastal Marsh Systems,Riparian,Agriculture
114,115,128.000000000000000,1633,1,14440_41_50_51,Eastern Boreal Floodplain,Hardwood,A
115,116,910.000000000000000,1641,6,14940_41_50_51,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Riparian,UN
116,117,46.000000000000000,1624,2,13652_51,Boreal White Spruce-Fir-Hardwood Forest-Coastal,Conifer,B
117,118,16.000000000000000,1641,2,14940_41_50_51,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Riparian,B
118,119,20428.000000000000000,1628,120,14071_41_50_51,Laurentian Pine-Oak Barrens,Hardwood-Conifer,Developed
119,120,1811.000000000000000,1628,6,14071_41_50_51,Laurentian Pine-Oak Barrens,Hardwood-Conifer,UN
120,121,108.000000000000000,1628,1,14071_41_50_51,Laurentian Pine-Oak Barrens,Hardwood-Conifer,A
121,122,31.000000000000000,1641,120,14940_41_50_51,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Riparian,Developed
122,123,8.000000000000000,1628,2,14071_41_50_51,Laurentian Pine-Oak Barrens,Hardwood-Conifer,B
123,124,506.000000000000000,1636,180,14750_41_50_51_63_64_65_66,Laurentian-Acadian Floodplain Systems,Riparian,Agriculture
124,125,10.000000000000000,1641,180,14940_41_50_51,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Riparian,Agriculture
125,126,45.000000000000000,1634,3,14660_50_51,Great Lakes Wooded Dune and Swale,Riparian,C
126,127,4.000000000000000,1616,1,13023_51,Laurentian-Acadian Northern Hardwoods Forest-Northern Sugar Maple-Basswood,Hardwood,A
127,128,43032.000000000000000,1581,4,14770_40_41_50_51,Boreal Acidic Peatland Systems,Riparian,D
128,129,222828.000000000000000,2726,2,13622_41_50,Laurentian-Acadian Northern Pine(-Oak) Forest-Pine Dominated,Hardwood-Conifer,B
129,130,72068.000000000000000,2726,4,13622_41_50,Laurentian-Acadian Northern Pine(-Oak) Forest-Pine Dominated,Hardwood-Conifer,D
130,131,35492.000000000000000,1561,5,13022_41_50_51,Laurentian-Acadian Northern Hardwoods Forest-Hemlock,Hardwood,E
131,132,15098.000000000000000,1561,6,13022_41_50_51,Laurentian-Acadian Northern Hardwoods Forest-Hemlock,Hardwood,UN
132,133,46517.000000000000000,2726,120,13622_41_50,Laurentian-Acadian Northern Pine(-Oak) Forest-Pine Dominated,Hardwood-Conifer,Developed
133,134,115361.000000000000000,1583,4,14810_41_50_51_63,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,D
134,135,10260.000000000000000,1561,120,13022_41_50_51,Laurentian-Acadian Northern Hardwoods Forest-Hemlock,Hardwood,Developed
135,136,26108.000000000000000,1583,3,14810_41_50_51_63,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,C
136,137,21608.000000000000000,2726,6,13622_41_50,Laurentian-Acadian Northern Pine(-Oak) Forest-Pine Dominated,Hardwood-Conifer,UN
137,138,6802.000000000000000,1568,4,13651_40_41_50,Boreal White Spruce-Fir-Hardwood Forest-Inland,Conifer,D
138,139,10771.000000000000000,1581,3,14770_40_41_50_51,Boreal Acidic Peatland Systems,Riparian,C
139,140,485.000000000000000,1581,2,14770_40_41_50_51,Boreal Acidic Peatland Systems,Riparian,B
140,141,6128.000000000000000,1561,7,13022_41_50_51,Laurentian-Acadian Northern Hardwoods Forest-Hemlock,Hardwood,UE
141,142,23711.000000000000000,2726,7,13622_41_50,Laurentian-Acadian Northern Pine(-Oak) Forest-Pine Dominated,Hardwood-Conifer,UE
142,143,5081.000000000000000,2726,5,13622_41_50,Laurentian-Acadian Northern Pine(-Oak) Forest-Pine Dominated,Hardwood-Conifer,E
143,144,1642.000000000000000,1581,120,14770_40_41_50_51,Boreal Acidic Peatland Systems,Riparian,Developed
144,145,431.000000000000000,1561,2,13022_41_50_51,Laurentian-Acadian Northern Hardwoods Forest-Hemlock,Hardwood,B
145,146,30582.000000000000000,2726,180,13622_41_50,Laurentian-Acadian Northern Pine(-Oak) Forest-Pine Dominated,Hardwood-Conifer,Agriculture
146,147,69859.000000000000000,1573,3,14072_41_50_51,Laurentian Pine-Oak Barrens-Jack Pine,Conifer,C
147,148,40806.000000000000000,1569,4,13660_50,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Hardwood-Conifer,D
148,149,33817.000000000000000,1562,5,13022_41_50_51,Laurentian-Acadian Northern Hardwoods Forest-Hemlock,Hardwood,E
149,150,17279.000000000000000,1562,6,13022_41_50_51,Laurentian-Acadian Northern Hardwoods Forest-Hemlock,Hardwood,UN
150,151,6647.000000000000000,1561,3,13022_41_50_51,Laurentian-Acadian Northern Hardwoods Forest-Hemlock,Hardwood,C
151,152,6942.000000000000000,1573,7,14072_41_50_51,Laurentian Pine-Oak Barrens-Jack Pine,Conifer,UE
152,153,1512.000000000000000,1581,7,14770_40_41_50_51,Boreal Acidic Peatland Systems,Riparian,UE
153,154,6778.000000000000000,1573,180,14072_41_50_51,Laurentian Pine-Oak Barrens-Jack Pine,Conifer,Agriculture
154,155,3.000000000000000,1581,5,14770_40_41_50_51,Boreal Acidic Peatland Systems,Riparian,E
155,156,1747.000000000000000,1583,2,14810_41_50_51_63,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,B
156,157,148.000000000000000,1581,1,14770_40_41_50_51,Boreal Acidic Peatland Systems,Riparian,A
157,158,3172.000000000000000,1562,3,13022_41_50_51,Laurentian-Acadian Northern Hardwoods Forest-Hemlock,Hardwood,C
158,159,1876.000000000000000,1581,180,14770_40_41_50_51,Boreal Acidic Peatland Systems,Riparian,Agriculture
159,160,2103.000000000000000,1583,120,14810_41_50_51_63,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,Developed
160,161,11385.000000000000000,1562,120,13022_41_50_51,Laurentian-Acadian Northern Hardwoods Forest-Hemlock,Hardwood,Developed
161,162,3076.000000000000000,2726,1,13622_41_50,Laurentian-Acadian Northern Pine(-Oak) Forest-Pine Dominated,Hardwood-Conifer,A
162,163,8128.000000000000000,1569,180,13660_50,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Hardwood-Conifer,Agriculture
163,164,21185.000000000000000,1561,180,13022_41_50_51,Laurentian-Acadian Northern Hardwoods Forest-Hemlock,Hardwood,Agriculture
164,165,5281.000000000000000,1569,120,13660_50,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Hardwood-Conifer,Developed
165,166,6691.000000000000000,1562,7,13022_41_50_51,Laurentian-Acadian Northern Hardwoods Forest-Hemlock,Hardwood,UE
166,167,3769.000000000000000,1569,7,13660_50,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Hardwood-Conifer,UE
167,168,3329.000000000000000,1583,7,14810_41_50_51_63,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,UE
168,169,32.000000000000000,1569,1,13660_50,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Hardwood-Conifer,A
169,170,1493.000000000000000,1583,1,14810_41_50_51_63,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,A
170,171,3137.000000000000000,1583,180,14810_41_50_51_63,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,Agriculture
171,172,19696.000000000000000,1562,180,13022_41_50_51,Laurentian-Acadian Northern Hardwoods Forest-Hemlock,Hardwood,Agriculture
172,173,266.000000000000000,1581,6,14770_40_41_50_51,Boreal Acidic Peatland Systems,Riparian,UN
173,174,10741.000000000000000,1586,4,14940_41_50_51,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Riparian,D
